Unobstructed;Orthogonal planes;H-bonds bridging;exactmw;amw;lipinskiHBA;lipinskiHBD;NumRotatableBonds;NumHBD;NumHBA;NumHeavyAtoms;NumAtoms;NumHeteroatoms;NumAmideBonds;FractionCSP3;NumRings;NumAromaticRings;NumAliphaticRings;NumSaturatedRings;NumHeterocycles;NumAromaticHeterocycles;NumSaturatedHeterocycles;NumAliphaticHeterocycles;NumSpiroAtoms;NumBridgeheadAtoms;NumAtomStereoCenters;NumUnspecifiedAtomStereoCenters;labuteASA;tpsa;CrippenClogP;CrippenMR;chi0v;chi1v;chi2v;chi3v;chi4v;chi0n;chi1n;chi2n;chi3n;chi4n;hallKierAlpha;kappa1;kappa2;kappa3;Phi;exactmw;amw;lipinskiHBA;lipinskiHBD;NumRotatableBonds;NumHBD;NumHBA;NumHeavyAtoms;NumAtoms;NumHeteroatoms;NumAmideBonds;FractionCSP3;NumRings;NumAromaticRings;NumAliphaticRings;NumSaturatedRings;NumHeterocycles;NumAromaticHeterocycles;NumSaturatedHeterocycles;NumAliphaticHeterocycles;NumSpiroAtoms;NumBridgeheadAtoms;NumAtomStereoCenters;NumUnspecifiedAtomStereoCenters;labuteASA;tpsa;CrippenClogP;CrippenMR;chi0v;chi1v;chi2v;chi3v;chi4v;chi0n;chi1n;chi2n;chi3n;chi4n;hallKierAlpha;kappa1;kappa2;kappa3;Phi
0;0;1;182,0843983;182,226;2;0;2;0;2;14;24;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;82,96807448;25,78;2,647;57,402;7,667929883;4,451645247;1,80039441;1,80039441;1,119872556;7,667929883;4,451645247;1,80039441;1,80039441;1,119872556;-1,96;8,629973277;4,325414892;2,263271662;2,666301066;216,0423;216,192;4;2;2;2;2;16;24;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;90,75446;74,6;2,2362;57,8666;8,175025;4,593496;2,365517;2,365517;1,697432;8,175025;4,593496;2,365517;2,365517;1,697432;-2,36;10,16779;3,657114;1,499961;2,324047
1;0;1;364,1687966;364,452;4;0;4;0;4;28;48;4;0;0,166666667;5;4;1;1;4;4;0;0;0;0;0;0;163,935215;51,56;4,7152;107,912;15,33585977;9,529692733;5,911594739;5,911594739;4,749363161;15,33585977;9,529692733;5,911594739;5,911594739;4,749363161;-3,4;16,75047191;7,312684122;2,871247917;4,374675355;216,0423;216,192;4;2;2;2;2;16;24;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;90,75446;74,6;2,2362;57,8666;8,175025;4,593496;2,365517;2,365517;1,697432;8,175025;4,593496;2,365517;2,365517;1,697432;-2,36;10,16779;3,657114;1,499961;2,324047
1;0;1;207,9330139;208,984;4;2;0;2;4;12;14;6;0;0;1;0;1;0;0;0;0;0;0;0;0;0;76,69696854;74,6;1,155;41,0296;6,97871061;3,489355305;1,945966047;1,945966047;0,972983023;5,466852718;2,733426359;1,244667373;1,244667373;0,622333686;-1;9,090909091;2,802768166;1,088846881;2,123309217;95,03711;95,101;2;1;0;1;1;7;12;2;0;0;1;1;0;0;1;1;0;0;0;0;0;0;40,81257;32,86;0,3749;27,0627;3,717649;2,031474;0,680528;0,680528;0,376866;3,717649;2,031474;0,680528;0,680528;0,376866;-1,05;4,118067;1,598931;0,891825;0,940644
1;0;0;86,03677943;86,09;2;1;1;1;1;6;12;2;0;0,75;1;0;1;1;0;0;0;0;0;0;0;0;35,78400207;37,3;0,481;20,3598;3,347025718;2,032902659;0,926591122;0,926591122;0,330283908;3,347025718;2,032902659;0,926591122;0,926591122;0,330283908;-0,53;3,652815356;0,964551163;0,505725462;0,587221217;122,048;122,127;3;2;1;1;2;9;15;3;1;0;1;1;0;0;1;1;0;0;0;0;0;0;52,51741;55,98;0,1805;32,7549;4,742213;2,503214;0,964838;0,964838;0,516181;4,742213;2,503214;0,964838;0,964838;0,516181;-1,38;5,751234;2,259334;1,252832;1,443773
1;0;0;100,0524295;100,117;2;1;1;1;1;7;15;2;0;0,8;1;0;1;1;0;0;0;0;0;0;0;0;42,14894418;37,3;0,8711;24,9768;4,054132499;2,532902659;1,454412568;1,454412568;0,655198866;4,054132499;2,532902659;1,454412568;1,454412568;0,655198866;-0,53;4,624559505;1,523475772;0,734423082;1,006486337;122,048;122,127;3;2;1;1;2;9;15;3;1;0;1;1;0;0;1;1;0;0;0;0;0;0;52,51741;55,98;0,1805;32,7549;4,742213;2,503214;0,964838;0,964838;0,516181;4,742213;2,503214;0,964838;0,964838;0,516181;-1,38;5,751234;2,259334;1,252832;1,443773
1;1;1;128,0837296;128,171;2;1;1;1;1;9;21;2;0;0,857142857;1;0;1;1;0;0;0;0;0;0;0;0;54,87882841;37,3;1,6513;34,2108;5,468346061;3,532902659;1,954412568;1,954412568;1,349539252;5,468346061;3,532902659;1,954412568;1,954412568;1,349539252;-0,53;6,588063754;2,852566646;1,698902356;2,088098992;122,048;122,127;3;2;1;1;2;9;15;3;1;0;1;1;0;0;1;1;0;0;0;0;0;0;52,51741;55,98;0,1805;32,7549;4,742213;2,503214;0,964838;0,964838;0,516181;4,742213;2,503214;0,964838;0,964838;0,516181;-1,38;5,751234;2,259334;1,252832;1,443773
1;0;0;123,0432618;123,115;4;2;1;1;3;9;14;4;1;0;1;1;0;0;1;1;0;0;0;0;0;0;51,73705399;68,87;-0,4245;30,5499;4,612076558;2,363011215;0,8156264;0,8156264;0,426332141;4,612076558;2,363011215;0,8156264;0,8156264;0,426332141;-1,45;5,682450331;2,212180313;1,218313829;1,396733861;154,0266;154,121;4;3;1;3;3;11;17;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;62,34057;77,76;0,796;36,7309;5,48194;2,856995;1,149487;1,149487;0,718635;5,48194;2,856995;1,149487;1,149487;0,718635;-1,71;7,397643;2,494363;1,606169;1,677491
1;1;1;123,0432618;123,115;4;2;1;1;3;9;14;4;1;0;1;1;0;0;1;1;0;0;0;0;0;0;51,73705399;68,87;-0,4245;30,5499;4,612076558;2,363011215;0,8156264;0,8156264;0,426332141;4,612076558;2,363011215;0,8156264;0,8156264;0,426332141;-1,45;5,682450331;2,212180313;1,218313829;1,396733861;194,0579;194,186;4;2;3;2;3;14;24;4;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0;81,0651;66,76;1,4986;51,3286;7,597675;3,912428;1,622139;1,622139;0,965398;7,597675;3,912428;1,622139;1,622139;0,965398;-1,97;10,11313;4,318275;2,515851;3,119376
1;1;0;110,0367794;110,112;2;2;0;2;2;8;14;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;47,01987062;40,46;1,0978;29,7716;4,203828268;2,268580801;0,829737489;0,829737489;0,49303061;4,203828268;2,268580801;0,829737489;0,829737489;0,49303061;-1,18;4,966627566;1,738120536;0,904141896;1,079074671;184,1;184,242;2;0;3;0;2;14;26;2;0;0,166667;2;2;0;0;2;2;0;0;0;0;0;0;83,65768;25,78;2,2618;55,882;7,927443;4,727936;2,201063;2,201063;1,387584;7,927443;4,727936;2,201063;2,201063;1,387584;-1,7;8,878891;4,512089;2,3916;2,861596
1;0;0;143,9978071;144,557;2;2;0;2;2;9;14;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;57,32313685;40,46;1,7512;34,7816;5,260371418;2,752194177;1,249330721;1,249330721;0,618606168;4,504442472;2,374229704;0,929718193;0,929718193;0,501057617;-0,89;6,233304562;2,150423034;1,265969127;1,48936019;184,1;184,242;2;0;3;0;2;14;26;2;0;0,166667;2;2;0;0;2;2;0;0;0;0;0;0;83,65768;25,78;2,2618;55,882;7,927443;4,727936;2,201063;2,201063;1,387584;7,927443;4,727936;2,201063;2,201063;1,387584;-1,7;8,878891;4,512089;2,3916;2,861596
